densidad_escuelas,densidad_hospitales,densidad_gimnasios,densidad_papelerias,densidad_farmacias,densidad_comercios,target,oportunidad_negocio
7,6,1,2,4,60,5,tienda_deportiva
1,5,3,2,1,52,5,tienda_deportiva
20,358,8,19,56,640,5,tienda_deportiva
16,46,1,1,4,50,5,tienda_deportiva
18,573,3,8,25,90,5,tienda_deportiva
9,36,2,2,8,49,5,tienda_deportiva
0,8,2,0,1,19,5,tienda_deportiva
8,6,1,2,4,42,5,tienda_deportiva
16,16,3,2,2,58,5,tienda_deportiva
3,4,0,0,1,37,3,papeleria
12,429,4,4,15,70,5,tienda_deportiva
3,3,0,5,1,35,0,cafeteria
13,30,4,4,7,122,5,tienda_deportiva
19,61,4,0,5,44,3,papeleria
8,14,0,6,4,93,0,cafeteria
7,2,0,3,2,32,0,cafeteria
0,3,1,2,3,13,5,tienda_deportiva
18,11,5,2,7,118,5,tienda_deportiva
10,21,2,0,2,34,3,papeleria
4,6,1,0,2,33,3,papeleria
11,20,4,3,8,270,5,tienda_deportiva
4,7,0,2,4,63,0,cafeteria
10,7,4,1,6,84,5,tienda_deportiva
10,8,5,2,6,111,5,tienda_deportiva
25,19,4,1,3,30,5,tienda_deportiva
2,11,4,2,5,73,5,tienda_deportiva
26,77,5,1,6,52,5,tienda_deportiva
29,136,2,6,18,159,5,tienda_deportiva
4,5,1,5,2,63,5,tienda_deportiva
6,3,1,2,0,20,1,farmacia
13,29,4,3,12,116,5,tienda_deportiva
11,7,0,13,4,89,0,cafeteria
0,1,0,0,0,3,1,farmacia
1,6,1,1,0,39,1,farmacia
11,11,5,1,1,68,5,tienda_deportiva
11,6,1,4,1,34,5,tienda_deportiva
5,5,5,0,0,46,3,papeleria
12,15,1,1,2,42,5,tienda_deportiva
4,26,8,0,3,36,3,papeleria
4,4,0,1,2,34,0,cafeteria
10,7,2,4,2,82,5,tienda_deportiva
8,4,1,2,2,51,5,tienda_deportiva
6,10,2,4,3,51,5,tienda_deportiva
21,37,6,6,9,326,5,tienda_deportiva
4,5,0,5,2,38,0,cafeteria
7,13,2,3,5,24,5,tienda_deportiva
23,362,8,16,50,588,5,tienda_deportiva
7,7,4,8,4,105,5,tienda_deportiva
3,3,1,0,0,23,3,papeleria
2,144,1,1,26,61,5,tienda_deportiva
8,19,1,2,4,60,5,tienda_deportiva
2,23,1,0,1,28,3,papeleria
4,4,2,0,1,16,3,papeleria
15,150,3,16,80,519,5,tienda_deportiva
10,138,3,2,15,253,5,tienda_deportiva
8,29,3,4,7,94,5,tienda_deportiva
3,4,1,5,1,48,5,tienda_deportiva
8,13,2,6,8,95,5,tienda_deportiva
6,0,0,0,0,10,3,papeleria
6,9,4,1,1,52,5,tienda_deportiva
6,4,0,2,0,71,1,farmacia
3,5,2,3,4,66,5,tienda_deportiva
15,20,4,2,9,73,5,tienda_deportiva
1,1,0,0,0,13,3,papeleria
8,24,4,5,9,122,5,tienda_deportiva
11,16,5,8,9,115,5,tienda_deportiva
9,16,1,1,1,25,5,tienda_deportiva
2,18,1,6,3,72,5,tienda_deportiva
12,56,6,9,19,395,5,tienda_deportiva
10,10,1,4,4,30,5,tienda_deportiva
26,131,5,3,10,119,5,tienda_deportiva
13,31,5,5,7,122,5,tienda_deportiva
0,0,0,2,0,122,0,cafeteria
9,14,1,5,7,65,5,tienda_deportiva
7,10,0,2,2,49,0,cafeteria
13,57,4,5,14,502,5,tienda_deportiva
10,19,7,1,7,75,5,tienda_deportiva
7,8,3,4,1,56,5,tienda_deportiva
13,13,3,2,4,69,5,tienda_deportiva
8,4,1,2,1,36,5,tienda_deportiva
7,2,2,0,2,10,3,papeleria
3,5,1,0,0,17,3,papeleria
3,14,2,2,5,77,5,tienda_deportiva
2,4,1,3,2,25,5,tienda_deportiva
5,2,4,3,5,51,5,tienda_deportiva
14,191,2,4,24,78,5,tienda_deportiva
8,2,1,2,5,48,5,tienda_deportiva
3,22,2,0,3,25,3,papeleria
1,2,0,1,0,26,1,farmacia
13,21,2,7,3,106,5,tienda_deportiva
12,15,3,6,6,77,5,tienda_deportiva
7,21,6,2,3,67,5,tienda_deportiva
1,0,0,0,0,11,3,papeleria
3,2,0,0,0,10,3,papeleria
9,41,9,3,9,63,5,tienda_deportiva
7,28,1,0,10,55,3,papeleria
6,4,3,0,2,152,3,papeleria
2,3,0,3,1,51,0,cafeteria
7,19,2,3,5,105,5,tienda_deportiva
2,1,1,1,0,11,1,farmacia
15,62,6,11,29,540,5,tienda_deportiva
4,11,1,1,7,42,5,tienda_deportiva
10,6,1,2,4,99,5,tienda_deportiva
2,4,1,1,0,3,1,farmacia
4,6,2,1,1,34,5,tienda_deportiva
8,4,0,3,1,48,0,cafeteria
5,9,3,1,4,93,5,tienda_deportiva
5,3,0,1,2,26,0,cafeteria
9,10,3,3,4,60,5,tienda_deportiva
4,1,0,0,0,15,3,papeleria
4,8,4,1,6,101,5,tienda_deportiva
6,7,1,3,5,60,5,tienda_deportiva
2,6,4,1,2,81,5,tienda_deportiva
2,16,2,4,3,116,5,tienda_deportiva
45,12,2,4,4,31,5,tienda_deportiva
24,73,6,5,21,271,5,tienda_deportiva
14,13,2,0,2,40,3,papeleria
0,0,0,1,1,18,0,cafeteria
8,68,3,0,2,61,3,papeleria
2,0,0,0,0,0,3,papeleria
11,22,2,1,6,80,5,tienda_deportiva
8,2,3,3,3,38,5,tienda_deportiva
7,20,3,1,7,50,5,tienda_deportiva
3,3,1,2,3,12,5,tienda_deportiva
9,15,0,5,2,60,0,cafeteria
6,20,2,1,1,35,5,tienda_deportiva
13,567,2,4,18,69,5,tienda_deportiva
10,301,5,7,36,270,5,tienda_deportiva
12,20,4,6,8,114,5,tienda_deportiva
5,12,0,1,4,14,0,cafeteria
5,12,0,3,8,60,0,cafeteria
6,6,3,6,1,84,5,tienda_deportiva
2,2,1,2,1,50,5,tienda_deportiva
2,8,1,0,2,14,3,papeleria
4,2,1,1,1,37,5,tienda_deportiva
10,6,1,4,5,47,5,tienda_deportiva
3,3,0,0,0,25,3,papeleria
6,7,0,6,3,48,0,cafeteria
4,10,0,1,7,45,0,cafeteria
0,0,0,0,0,1,2,otro
7,30,1,4,3,431,5,tienda_deportiva
11,11,4,1,7,68,5,tienda_deportiva
8,20,1,5,5,90,5,tienda_deportiva
29,235,6,11,17,169,5,tienda_deportiva
3,0,0,1,1,24,0,cafeteria
12,41,3,6,12,149,5,tienda_deportiva
8,50,7,5,11,114,5,tienda_deportiva
3,1,0,4,0,42,1,farmacia
5,5,0,3,1,48,0,cafeteria
0,1,0,1,0,13,1,farmacia
7,7,2,1,3,16,5,tienda_deportiva
12,37,2,5,10,112,5,tienda_deportiva
1,3,2,2,0,21,1,farmacia
8,120,4,8,15,151,5,tienda_deportiva
14,47,4,5,6,114,5,tienda_deportiva
2,4,0,1,0,3,1,farmacia
16,15,4,0,13,70,3,papeleria
11,16,5,8,9,115,5,tienda_deportiva
14,25,3,3,7,85,5,tienda_deportiva
16,27,4,0,8,41,3,papeleria
3,3,0,1,4,73,0,cafeteria
17,19,5,3,4,91,5,tienda_deportiva
7,1,2,7,2,69,5,tienda_deportiva
4,4,0,3,2,57,0,cafeteria
2,23,1,0,1,28,3,papeleria
1,2,0,3,0,55,1,farmacia
5,17,5,1,1,40,5,tienda_deportiva
8,78,3,8,54,205,5,tienda_deportiva
4,12,3,2,4,73,5,tienda_deportiva
29,165,8,12,24,392,5,tienda_deportiva
20,353,5,16,52,565,5,tienda_deportiva
2,0,0,0,0,4,3,papeleria
31,147,5,8,22,175,5,tienda_deportiva
3,1,0,2,0,24,1,farmacia
8,246,6,5,29,249,5,tienda_deportiva
9,118,3,4,11,152,5,tienda_deportiva
3,4,0,0,1,26,3,papeleria
6,2,0,2,0,24,1,farmacia
10,63,2,2,4,40,5,tienda_deportiva
6,7,3,3,3,27,5,tienda_deportiva
10,18,2,8,9,122,5,tienda_deportiva
15,29,1,7,5,317,5,tienda_deportiva
9,16,1,2,1,32,5,tienda_deportiva
12,63,8,0,6,54,3,papeleria
2,144,1,1,26,61,5,tienda_deportiva
15,336,0,1,11,13,0,cafeteria
10,10,4,3,5,145,5,tienda_deportiva
7,8,3,7,1,74,5,tienda_deportiva
7,0,0,6,0,59,0,cafeteria
0,1,0,0,0,7,1,farmacia
15,32,4,5,6,306,5,tienda_deportiva
5,17,1,5,7,84,5,tienda_deportiva
5,12,2,2,4,68,5,tienda_deportiva
10,15,6,3,2,54,5,tienda_deportiva
10,9,8,1,0,15,1,farmacia
7,5,1,4,1,77,5,tienda_deportiva
7,5,2,4,0,57,1,farmacia
12,19,5,1,1,40,5,tienda_deportiva
3,35,1,2,29,230,5,tienda_deportiva
8,10,2,2,2,116,5,tienda_deportiva
19,53,5,8,19,878,5,tienda_deportiva
8,527,6,4,18,67,5,tienda_deportiva
3,0,0,0,0,0,3,papeleria
9,45,3,1,10,105,5,tienda_deportiva
13,14,5,4,7,95,5,tienda_deportiva
4,7,2,2,4,45,5,tienda_deportiva
34,410,9,55,135,962,5,tienda_deportiva
5,15,1,3,3,59,5,tienda_deportiva
0,2,1,1,0,24,1,farmacia
4,140,1,1,7,40,5,tienda_deportiva
4,20,1,2,6,42,5,tienda_deportiva
7,6,0,3,2,38,0,cafeteria
9,5,1,2,1,49,5,tienda_deportiva
9,8,2,0,2,81,3,papeleria
1,6,1,1,1,19,5,tienda_deportiva
0,0,0,0,0,10,0,cafeteria
8,7,3,3,5,60,5,tienda_deportiva
24,18,6,1,2,35,5,tienda_deportiva
3,14,4,0,3,56,3,papeleria
11,8,0,5,4,87,0,cafeteria
0,2,2,3,0,28,1,farmacia
5,430,0,1,19,21,0,cafeteria
9,17,1,2,3,41,5,tienda_deportiva
8,13,3,2,5,295,5,tienda_deportiva
3,6,1,8,1,76,5,tienda_deportiva
28,410,9,29,71,661,5,tienda_deportiva
9,13,3,6,5,54,5,tienda_deportiva
7,2,1,2,2,52,5,tienda_deportiva
24,307,6,6,34,330,5,tienda_deportiva
10,13,6,2,0,35,1,farmacia
4,6,2,1,1,28,5,tienda_deportiva
15,42,4,4,27,345,5,tienda_deportiva
21,36,4,6,9,321,5,tienda_deportiva
3,2,0,3,0,19,1,farmacia
3,11,1,3,7,53,5,tienda_deportiva
0,0,0,0,0,20,0,cafeteria
15,104,4,2,6,82,5,tienda_deportiva
8,24,3,4,7,80,5,tienda_deportiva
7,24,4,3,8,66,5,tienda_deportiva
26,20,5,1,3,47,5,tienda_deportiva
3,23,4,0,5,56,3,papeleria
16,42,5,6,13,839,5,tienda_deportiva
17,29,0,1,3,22,0,cafeteria
8,24,3,4,7,80,5,tienda_deportiva
13,34,5,6,6,298,5,tienda_deportiva
9,37,2,5,10,122,5,tienda_deportiva
10,13,7,2,2,59,5,tienda_deportiva
9,47,8,2,9,88,5,tienda_deportiva
6,7,1,3,3,54,5,tienda_deportiva
8,201,2,0,17,78,3,papeleria
7,11,1,3,4,78,5,tienda_deportiva
5,2,1,2,0,28,1,farmacia
6,5,1,5,3,44,5,tienda_deportiva
4,4,1,2,1,50,5,tienda_deportiva
3,2,0,1,2,17,0,cafeteria
1,6,1,3,1,37,5,tienda_deportiva
1,1,0,1,0,15,1,farmacia
4,2,1,2,1,16,5,tienda_deportiva
3,15,4,3,2,106,5,tienda_deportiva
5,21,0,4,7,60,0,cafeteria
4,2,1,2,2,40,5,tienda_deportiva
3,4,2,4,5,45,5,tienda_deportiva
4,3,0,2,0,33,1,farmacia
3,0,1,3,0,36,5,tienda_deportiva
3,7,2,2,2,32,5,tienda_deportiva
4,2,1,2,2,13,5,tienda_deportiva
14,23,2,3,3,425,5,tienda_deportiva
8,39,11,5,11,134,5,tienda_deportiva
21,84,4,4,8,70,5,tienda_deportiva
4,1,1,2,1,242,5,tienda_deportiva
4,3,0,2,0,33,1,farmacia
5,6,1,3,2,28,5,tienda_deportiva
4,1,0,4,1,38,0,cafeteria
5,12,2,3,3,61,5,tienda_deportiva
4,10,1,1,1,35,5,tienda_deportiva
3,2,2,0,0,70,3,papeleria
12,376,0,1,12,25,0,cafeteria
5,6,1,3,2,28,5,tienda_deportiva
14,36,3,5,11,145,5,tienda_deportiva
5,13,2,2,3,47,5,tienda_deportiva
2,4,1,2,1,44,5,tienda_deportiva
12,20,5,3,3,57,5,tienda_deportiva
2,0,0,0,0,8,3,papeleria
5,333,3,2,29,184,5,tienda_deportiva
4,6,0,6,2,40,0,cafeteria
7,5,1,7,4,75,5,tienda_deportiva
4,1,0,0,0,20,3,papeleria
10,55,4,4,4,103,5,tienda_deportiva
7,2,1,4,2,41,5,tienda_deportiva
7,13,1,3,4,47,5,tienda_deportiva
5,334,3,2,29,187,5,tienda_deportiva
14,24,3,6,2,197,5,tienda_deportiva
11,27,3,2,6,89,5,tienda_deportiva
9,3,1,6,5,65,5,tienda_deportiva
32,193,10,11,24,334,5,tienda_deportiva
5,3,3,9,2,71,5,tienda_deportiva
0,0,0,1,0,16,0,cafeteria
2,3,0,2,0,24,1,farmacia
12,187,7,11,36,340,5,tienda_deportiva
4,2,0,2,1,16,0,cafeteria
8,10,0,3,5,29,0,cafeteria
12,73,2,6,15,138,5,tienda_deportiva
14,290,7,8,33,289,5,tienda_deportiva
7,8,3,7,1,74,5,tienda_deportiva
6,25,4,5,9,106,5,tienda_deportiva
2,4,2,4,3,88,5,tienda_deportiva
17,226,9,15,41,283,5,tienda_deportiva
6,3,1,1,1,47,5,tienda_deportiva
16,5,3,3,0,22,1,farmacia
6,8,4,0,4,80,3,papeleria
1,0,0,1,0,31,0,cafeteria
21,334,4,6,40,168,5,tienda_deportiva
5,333,3,2,29,186,5,tienda_deportiva
13,37,4,5,5,125,5,tienda_deportiva
17,34,3,0,2,37,3,papeleria
14,35,3,6,11,150,5,tienda_deportiva
6,5,1,3,2,55,5,tienda_deportiva
4,2,0,6,2,33,0,cafeteria
4,3,0,1,2,23,0,cafeteria
8,21,3,7,4,91,5,tienda_deportiva
8,5,3,4,6,41,5,tienda_deportiva
4,5,1,0,3,16,3,papeleria
3,4,2,4,7,58,5,tienda_deportiva
21,60,6,4,7,133,5,tienda_deportiva
0,0,2,1,0,3,5,tienda_deportiva
6,6,0,4,2,35,0,cafeteria
16,345,0,1,12,13,0,cafeteria
13,15,2,3,3,70,5,tienda_deportiva
3,10,2,0,4,44,3,papeleria
10,27,3,3,6,90,5,tienda_deportiva
10,2,1,1,0,37,1,farmacia
3,8,3,2,3,67,5,tienda_deportiva
5,4,0,3,4,52,0,cafeteria
6,0,0,8,0,60,0,cafeteria
4,9,0,1,2,45,0,cafeteria
2,10,1,1,3,35,5,tienda_deportiva
2,14,3,2,5,62,5,tienda_deportiva
17,614,2,8,26,91,5,tienda_deportiva
1,10,3,1,4,23,5,tienda_deportiva
9,4,0,0,0,14,3,papeleria
2,1,0,0,1,20,3,papeleria
8,5,3,9,3,70,5,tienda_deportiva
4,192,3,5,26,213,5,tienda_deportiva
17,12,4,6,9,69,5,tienda_deportiva
8,527,6,4,18,67,5,tienda_deportiva
11,27,9,3,8,85,5,tienda_deportiva
30,179,9,9,18,281,5,tienda_deportiva
21,36,4,6,9,321,5,tienda_deportiva
7,47,7,3,11,113,5,tienda_deportiva
4,5,1,5,2,63,5,tienda_deportiva
3,0,0,1,0,4,0,cafeteria
20,236,9,20,48,340,5,tienda_deportiva
7,11,5,1,2,60,5,tienda_deportiva
3,2,0,2,1,34,0,cafeteria
8,13,2,6,8,88,5,tienda_deportiva
5,6,2,0,2,18,3,papeleria
16,15,3,1,6,56,5,tienda_deportiva
13,41,4,4,3,137,5,tienda_deportiva
17,14,3,3,6,115,5,tienda_deportiva
10,7,2,1,2,38,5,tienda_deportiva
8,14,0,6,3,93,0,cafeteria
8,12,1,4,2,49,5,tienda_deportiva
10,30,3,2,7,93,5,tienda_deportiva
14,63,3,3,8,60,5,tienda_deportiva
2,3,0,1,0,32,1,farmacia
3,10,1,1,2,35,5,tienda_deportiva
10,7,2,4,4,36,5,tienda_deportiva
4,1,0,1,0,3,1,farmacia
4,6,1,3,7,64,5,tienda_deportiva
8,6,3,2,7,83,5,tienda_deportiva
4,1,0,2,0,15,1,farmacia
3,2,0,1,1,32,0,cafeteria
3,1,0,2,0,29,1,farmacia
3,29,4,1,2,59,5,tienda_deportiva
7,13,5,1,7,161,5,tienda_deportiva
2,14,3,2,5,62,5,tienda_deportiva
5,3,2,1,4,36,5,tienda_deportiva
10,16,5,4,6,75,5,tienda_deportiva
17,20,4,6,8,133,5,tienda_deportiva
8,6,2,4,3,55,5,tienda_deportiva
2,5,3,1,2,42,5,tienda_deportiva
6,13,2,1,2,86,5,tienda_deportiva
5,2,1,3,0,28,1,farmacia
3,5,0,2,0,42,1,farmacia
13,37,4,3,3,121,5,tienda_deportiva
17,8,4,6,2,40,5,tienda_deportiva
30,181,5,7,18,179,5,tienda_deportiva
7,10,2,2,2,51,5,tienda_deportiva
16,34,4,3,6,92,5,tienda_deportiva
0,2,1,1,0,59,1,farmacia
1,3,2,0,1,26,3,papeleria
5,22,4,1,5,56,5,tienda_deportiva
34,398,10,53,131,944,5,tienda_deportiva
5,14,1,1,8,72,5,tienda_deportiva
7,5,0,8,5,66,0,cafeteria
18,44,3,5,5,87,5,tienda_deportiva
29,165,8,12,24,392,5,tienda_deportiva
3,0,0,4,0,64,0,cafeteria
3,2,0,3,2,39,0,cafeteria
6,11,4,4,2,32,5,tienda_deportiva
3,5,0,2,0,32,1,farmacia
4,140,1,1,7,40,5,tienda_deportiva
10,47,2,5,15,299,5,tienda_deportiva
9,6,1,4,2,92,5,tienda_deportiva
5,7,1,6,1,71,5,tienda_deportiva
6,20,0,5,8,91,0,cafeteria
9,12,2,5,4,62,5,tienda_deportiva
4,4,2,3,4,55,5,tienda_deportiva
5,6,2,2,1,51,5,tienda_deportiva
25,98,7,12,29,511,5,tienda_deportiva
9,11,0,6,6,60,0,cafeteria
28,175,8,14,23,381,5,tienda_deportiva
5,9,0,3,4,45,0,cafeteria
2,2,1,1,1,20,5,tienda_deportiva
16,67,8,0,6,59,3,papeleria
4,3,0,4,0,37,1,farmacia
3,14,2,0,3,66,3,papeleria
19,177,4,33,104,613,5,tienda_deportiva
0,0,0,0,0,1,2,otro
19,123,7,11,25,452,5,tienda_deportiva
31,319,10,55,143,1141,5,tienda_deportiva
3,14,5,2,5,95,5,tienda_deportiva
17,120,4,2,8,105,5,tienda_deportiva
13,33,2,3,3,422,5,tienda_deportiva
2,3,3,1,0,26,1,farmacia
12,63,8,0,6,54,3,papeleria
6,15,2,2,2,62,5,tienda_deportiva
3,3,1,2,2,15,5,tienda_deportiva
5,3,1,3,0,28,1,farmacia
5,1,0,2,1,19,0,cafeteria
4,12,2,1,3,39,5,tienda_deportiva
27,402,9,32,73,667,5,tienda_deportiva
10,16,4,8,9,104,5,tienda_deportiva
11,124,1,30,89,519,5,tienda_deportiva
8,25,3,3,8,278,5,tienda_deportiva
10,8,0,4,3,72,0,cafeteria
11,27,2,8,10,132,5,tienda_deportiva
3,3,0,3,0,28,1,farmacia
7,189,7,8,30,223,5,tienda_deportiva
3,17,4,3,3,106,5,tienda_deportiva
2,1,0,0,0,12,3,papeleria
8,11,3,2,4,89,5,tienda_deportiva
4,18,4,1,5,43,5,tienda_deportiva
3,230,3,6,26,176,5,tienda_deportiva
8,4,2,1,1,19,5,tienda_deportiva
8,15,0,4,5,56,0,cafeteria
16,43,7,3,4,28,5,tienda_deportiva
1,1,0,1,2,31,0,cafeteria
5,3,0,2,0,21,1,farmacia
14,26,2,2,5,60,5,tienda_deportiva
11,22,2,1,6,80,5,tienda_deportiva
22,376,10,23,72,696,5,tienda_deportiva
16,17,4,8,9,118,5,tienda_deportiva
8,2,0,5,2,59,0,cafeteria
18,12,6,1,8,113,5,tienda_deportiva
2,0,0,0,0,6,3,papeleria
14,31,5,4,7,104,5,tienda_deportiva
11,20,2,4,7,92,5,tienda_deportiva
3,1,1,1,0,24,1,farmacia
9,36,2,5,11,469,5,tienda_deportiva
4,1,3,1,0,4,1,farmacia
0,1,0,0,0,29,1,farmacia
9,11,5,2,3,65,5,tienda_deportiva
6,1,2,1,2,28,5,tienda_deportiva
8,223,2,0,16,55,3,papeleria
14,58,3,1,13,144,5,tienda_deportiva
1,6,5,4,6,29,5,tienda_deportiva
12,203,7,12,37,311,5,tienda_deportiva
9,10,2,3,6,65,5,tienda_deportiva
17,223,1,4,21,172,5,tienda_deportiva
1,3,1,3,1,40,5,tienda_deportiva
3,10,2,0,4,44,3,papeleria
36,14,1,4,4,61,5,tienda_deportiva
4,10,6,2,3,92,5,tienda_deportiva
6,22,2,1,7,55,5,tienda_deportiva
17,120,4,2,8,105,5,tienda_deportiva
3,0,0,0,0,10,3,papeleria
5,379,1,3,23,226,5,tienda_deportiva
9,22,3,5,7,79,5,tienda_deportiva
14,37,5,9,13,185,5,tienda_deportiva
2,1,1,1,0,23,1,farmacia
3,13,3,3,3,55,5,tienda_deportiva
10,7,2,1,2,39,5,tienda_deportiva
2,1,0,3,0,47,1,farmacia
7,23,2,2,3,89,5,tienda_deportiva
9,36,2,2,8,49,5,tienda_deportiva
12,28,5,5,12,123,5,tienda_deportiva
6,10,1,3,5,20,5,tienda_deportiva
4,6,2,1,0,55,1,farmacia
13,31,2,3,1,48,5,tienda_deportiva
5,324,3,4,29,204,5,tienda_deportiva
6,9,1,5,2,82,5,tienda_deportiva
9,45,3,1,10,105,5,tienda_deportiva
6,5,1,2,1,41,5,tienda_deportiva
9,147,0,1,5,29,0,cafeteria
10,10,1,1,2,51,5,tienda_deportiva
7,22,2,2,14,86,5,tienda_deportiva
14,35,5,3,14,119,5,tienda_deportiva
7,47,7,3,11,113,5,tienda_deportiva
4,0,0,0,1,7,3,papeleria
3,3,0,0,0,26,3,papeleria
9,6,5,4,4,66,5,tienda_deportiva
12,26,3,2,2,423,5,tienda_deportiva
1,5,0,6,3,131,0,cafeteria
2,8,1,1,1,21,5,tienda_deportiva
16,139,6,3,8,117,5,tienda_deportiva
24,384,10,34,83,735,5,tienda_deportiva
2,10,2,3,2,28,5,tienda_deportiva
9,18,5,6,7,94,5,tienda_deportiva
11,22,3,2,4,228,5,tienda_deportiva
5,332,3,3,30,199,5,tienda_deportiva
1,0,0,0,0,10,3,papeleria
3,19,2,2,2,39,5,tienda_deportiva
7,10,0,2,2,49,0,cafeteria
0,1,0,0,0,0,1,farmacia
16,25,4,7,9,135,5,tienda_deportiva
9,9,1,3,0,64,1,farmacia
8,18,4,2,7,47,5,tienda_deportiva
9,4,8,2,0,15,1,farmacia
5,334,3,3,29,191,5,tienda_deportiva
7,16,2,6,4,92,5,tienda_deportiva
22,55,4,9,11,326,5,tienda_deportiva
4,8,0,1,0,75,1,farmacia
4,31,5,0,3,22,3,papeleria
12,25,3,4,5,80,5,tienda_deportiva
25,243,5,9,21,159,5,tienda_deportiva
5,334,3,2,29,188,5,tienda_deportiva
2,0,1,2,2,21,5,tienda_deportiva
3,14,2,1,4,70,5,tienda_deportiva
4,14,4,0,13,258,3,papeleria
10,33,4,6,7,98,5,tienda_deportiva
26,77,5,1,6,52,5,tienda_deportiva
15,33,2,1,6,67,5,tienda_deportiva
21,37,6,6,9,326,5,tienda_deportiva
4,13,0,4,4,64,0,cafeteria
0,0,0,0,0,2,2,otro
13,44,4,4,5,111,5,tienda_deportiva
8,7,2,3,1,57,5,tienda_deportiva
8,8,3,2,1,33,5,tienda_deportiva
4,1,0,1,0,28,1,farmacia
11,105,2,3,12,105,5,tienda_deportiva
0,1,1,1,2,25,5,tienda_deportiva
6,2,3,1,1,27,5,tienda_deportiva
12,21,2,3,4,78,5,tienda_deportiva
7,18,3,3,7,271,5,tienda_deportiva
8,3,4,1,0,28,1,farmacia
4,4,0,8,2,95,0,cafeteria
10,138,3,2,15,253,5,tienda_deportiva
5,1,1,0,0,20,3,papeleria
5,0,0,5,0,64,0,cafeteria
12,22,2,3,2,424,5,tienda_deportiva
2,3,1,1,1,39,5,tienda_deportiva
9,8,3,2,0,26,1,farmacia
4,6,2,2,4,39,5,tienda_deportiva
2,1,0,1,1,31,0,cafeteria
1,2,1,0,0,16,3,papeleria
10,9,5,1,4,90,5,tienda_deportiva
11,25,3,1,2,417,5,tienda_deportiva
6,4,1,3,3,253,5,tienda_deportiva
5,9,3,0,1,52,3,papeleria
3,13,4,2,4,42,5,tienda_deportiva
19,53,0,6,28,609,0,cafeteria
4,22,4,0,14,64,3,papeleria
1,4,0,0,2,45,3,papeleria
17,120,4,2,8,105,5,tienda_deportiva
6,4,0,4,1,74,0,cafeteria
4,3,2,1,0,31,1,farmacia
0,2,2,1,0,22,1,farmacia
0,2,0,2,0,35,1,farmacia
4,4,2,2,1,8,5,tienda_deportiva
0,0,2,1,0,3,5,tienda_deportiva
2,0,1,0,0,3,3,papeleria
9,26,7,5,6,139,5,tienda_deportiva
1,5,0,0,0,37,3,papeleria
11,7,3,3,3,62,5,tienda_deportiva
2,3,2,1,1,14,5,tienda_deportiva
13,33,4,8,8,109,5,tienda_deportiva
3,3,1,2,2,15,5,tienda_deportiva
1,0,0,0,1,15,3,papeleria
6,7,3,3,3,27,5,tienda_deportiva
16,19,4,7,8,138,5,tienda_deportiva
8,10,4,1,7,64,5,tienda_deportiva
9,10,2,4,5,63,5,tienda_deportiva
1,4,1,1,2,22,5,tienda_deportiva
7,21,6,2,3,67,5,tienda_deportiva
1,2,0,0,0,302,3,papeleria
0,0,1,0,4,96,5,tienda_deportiva
0,13,2,0,3,46,5,tienda_deportiva
2,5,1,3,2,42,5,tienda_deportiva
6,17,5,0,13,281,3,papeleria
4,35,7,2,7,79,5,tienda_deportiva
6,7,0,8,1,83,0,cafeteria
5,14,4,2,2,110,5,tienda_deportiva
4,11,0,3,1,32,0,cafeteria
0,1,0,0,0,9,1,farmacia
27,28,2,2,9,69,5,tienda_deportiva
5,8,3,2,7,74,5,tienda_deportiva
3,41,2,8,51,61,5,tienda_deportiva
2,5,0,3,1,36,0,cafeteria
13,567,2,4,18,69,5,tienda_deportiva
3,0,0,0,0,6,3,papeleria
5,3,5,1,0,42,1,farmacia
4,5,1,1,5,27,5,tienda_deportiva
7,5,0,1,0,25,1,farmacia
6,1,1,0,1,37,3,papeleria
0,3,2,0,3,18,5,tienda_deportiva
8,268,8,0,8,36,3,papeleria
9,18,4,3,6,81,5,tienda_deportiva
7,13,5,1,7,161,5,tienda_deportiva
0,5,1,3,0,77,1,farmacia
4,7,3,3,3,30,5,tienda_deportiva
6,8,2,3,4,45,5,tienda_deportiva
2,8,1,1,1,21,5,tienda_deportiva
7,3,1,0,1,33,3,papeleria
4,21,6,3,5,51,5,tienda_deportiva
7,18,1,1,8,67,5,tienda_deportiva
5,8,1,5,1,68,5,tienda_deportiva
7,4,0,2,1,30,0,cafeteria
14,15,1,4,2,60,5,tienda_deportiva
10,8,8,1,0,16,1,farmacia
16,38,1,2,5,59,5,tienda_deportiva
9,7,3,4,3,62,5,tienda_deportiva
2,2,0,2,2,47,0,cafeteria
16,36,4,10,8,117,5,tienda_deportiva
14,10,3,0,2,41,3,papeleria
2,4,0,3,2,26,0,cafeteria
6,2,1,4,2,43,5,tienda_deportiva
5,332,3,3,30,200,5,tienda_deportiva
2,3,1,1,0,4,1,farmacia
5,4,0,2,0,36,1,farmacia
2,3,2,1,1,14,5,tienda_deportiva
13,250,3,8,13,174,5,tienda_deportiva
11,32,4,8,11,151,5,tienda_deportiva
6,2,1,0,2,35,3,papeleria
6,3,7,3,1,70,5,tienda_deportiva
4,30,2,1,7,43,5,tienda_deportiva
1,3,2,0,3,17,3,papeleria
8,11,3,0,2,33,3,papeleria
8,32,6,6,5,155,5,tienda_deportiva
0,2,1,0,0,45,1,farmacia
8,5,0,4,1,55,0,cafeteria
